Date,Type,SMP
20130118,최대,213.09
20130119,최대,153.45
20130120,최대,155.45
20130121,최대,177.63
20130122,최대,162.08
20130123,최대,158.91
20130124,최대,159.33
20130125,최대,159.48
20130126,최대,137.99
20130127,최대,148.31
20130128,최대,159.39
20130129,최대,152.65
20130130,최대,157.45
20130131,최대,159.4
20130201,최대,160.82
20130202,최대,160.61
20130203,최대,152.38
20130204,최대,168.31
20130205,최대,168.76
20130206,최대,161.42
20130207,최대,173.02
20130208,최대,165.63
20130209,최대,150.56
20130210,최대,137.17
20130211,최대,140.45
20130212,최대,151.45
20130213,최대,163.44
20130214,최대,165.42
20130215,최대,168.76
20130216,최대,157.29
20130217,최대,151.66
20130218,최대,175.53
20130219,최대,168.76
20130220,최대,168.76
20130221,최대,168.76
20130222,최대,165.42
20130223,최대,149.3
20130224,최대,151.6
20130225,최대,169.24
20130226,최대,168.31
20130227,최대,162.04
20130228,최대,161.74
20130301,최대,144.07
20130302,최대,149.59
20130303,최대,158.65
20130304,최대,165.9
20130305,최대,161.12
20130306,최대,158.68
20130307,최대,166.75
20130308,최대,166.08
20130309,최대,161.04
20130310,최대,161.67
20130311,최대,163.22
20130312,최대,162.36
20130313,최대,164.67
20130314,최대,163.62
20130315,최대,162.8
20130316,최대,145.38
20130317,최대,155.62
20130318,최대,157.41
20130319,최대,162.35
20130320,최대,164.96
20130321,최대,163.34
20130322,최대,161.88
20130323,최대,155.41
20130324,최대,142.05
20130325,최대,172.14
20130326,최대,171.98
20130327,최대,164.68
20130328,최대,167.86
20130329,최대,186.19
20130330,최대,154.6
20130331,최대,161.79
20130401,최대,181.83
20130402,최대,178.46
20130403,최대,162.52
20130404,최대,166.19
20130405,최대,161.07
20130406,최대,140.24
20130407,최대,153.09
20130408,최대,192.66
20130409,최대,199.22
20130410,최대,186.37
20130411,최대,186.03
20130412,최대,186.77
20130413,최대,161.06
20130414,최대,141.05
20130415,최대,187.12
20130416,최대,184.1
20130417,최대,186.96
20130418,최대,188.6
20130419,최대,199.28
20130420,최대,177.99
20130421,최대,140.7
20130422,최대,194.31
20130423,최대,196.41
20130424,최대,186.2
20130425,최대,197.11
20130426,최대,193.31
20130427,최대,152.31
20130428,최대,156.44
20130429,최대,187.46
20130430,최대,190.66
20130501,최대,131.34
20130502,최대,190.55
20130503,최대,157.46
20130504,최대,143.76
20130505,최대,130.53
20130506,최대,184.51
20130507,최대,191.64
20130508,최대,185.04
20130509,최대,173.25
20130510,최대,191.0
20130511,최대,135.98
20130512,최대,135.57
20130513,최대,156.0
20130514,최대,189.12
20130515,최대,156.26
20130516,최대,158.84
20130517,최대,202.86
20130518,최대,131.16
20130519,최대,131.71
20130520,최대,159.63
20130521,최대,154.16
20130522,최대,184.75
20130523,최대,174.6
20130524,최대,174.09
20130525,최대,131.76
20130526,최대,130.74
20130527,최대,173.21
20130528,최대,186.84
20130529,최대,157.19
20130530,최대,183.03
20130531,최대,186.4
20130601,최대,157.67
20130602,최대,132.15
20130603,최대,190.15
20130604,최대,189.42
20130605,최대,220.82
20130606,최대,152.61
20130607,최대,209.22
20130608,최대,156.14
20130609,최대,134.14
20130610,최대,188.52
20130611,최대,204.97
20130612,최대,193.7
20130613,최대,191.53
20130614,최대,183.9
20130615,최대,155.21
20130616,최대,143.48
20130617,최대,198.59
20130618,최대,195.27
20130619,최대,198.48
20130620,최대,188.79
20130621,최대,198.08
20130622,최대,159.52
