Date,Last,Open,High,Low,Variation
2020.05.08,1219.8,1220.11,1221.82,1214.51,-0.03
2020.05.09,1219.8,1220.11,1221.82,1214.51,-0.03
2020.05.10,1219.8,1220.11,1221.82,1214.51,-0.03
2020.05.11,1223.41,1219.7,1226.18,1214.18,0.3
2020.05.12,1226.84,1223.41,1228.95,1220.19,0.28
2020.05.13,1227.51,1226.84,1229.4,1222.17,0.05
2020.05.14,1227.53,1227.51,1234.03,1226.12,0.0
2020.05.15,1233.19,1227.53,1235.58,1226.3,0.46
2020.05.16,1233.19,1227.53,1235.58,1226.3,0.46
2020.05.17,1233.19,1227.53,1235.58,1226.3,0.46
2020.05.18,1225.27,1233.09,1235.04,1224.44,-0.64
2020.05.19,1225.18,1225.27,1227.55,1221.06,-0.01
2020.05.20,1227.4,1225.18,1232.7,1224.17,0.18
2020.05.21,1233.27,1227.4,1234.52,1226.44,0.48
2020.05.22,1240.66,1233.27,1244.51,1232.81,0.6
2020.05.23,1240.66,1233.27,1244.51,1232.81,0.6
2020.05.24,1240.66,1233.27,1244.51,1232.81,0.6
2020.05.25,1240.95,1240.56,1244.89,1237.61,0.02
2020.05.26,1230.99,1240.95,1242.7,1230.11,-0.8
2020.05.27,1238.26,1230.99,1239.51,1230.43,0.59
2020.05.28,1238.03,1238.26,1242.59,1233.71,-0.02
2020.05.29,1231.59,1238.03,1240.7,1230.18,-0.52
2020.05.30,1231.59,1238.03,1240.7,1230.18,-0.52
2020.05.31,1231.59,1238.03,1240.7,1230.18,-0.52
2020.06.01,1223.05,1231.47,1232.19,1221.74,-0.69
2020.06.02,1220.12,1223.05,1227.33,1216.33,-0.24
2020.06.03,1215.95,1220.12,1220.67,1214.12,-0.34
2020.06.04,1216.54,1215.95,1220.2,1212.94,0.05
2020.06.05,1202.1,1216.54,1218.76,1200.35,-1.19
2020.06.06,1202.1,1216.54,1218.76,1200.35,-1.19
2020.06.07,1202.1,1216.54,1218.76,1200.35,-1.19
2020.06.08,1195.96,1201.85,1205.56,1194.25,-0.51
2020.06.09,1198.52,1195.9,1202.93,1194.99,0.21
2020.06.10,1190.79,1198.52,1200.79,1184.24,-0.64
2020.06.11,1206.2,1190.79,1208.4,1188.11,1.29
2020.06.12,1203.77,1206.2,1210.48,1200.61,-0.2
2020.06.13,1203.77,1206.2,1210.48,1200.61,-0.2
2020.06.14,1203.77,1206.2,1210.48,1200.61,-0.2
2020.06.15,1208.65,1203.61,1217.13,1203.16,0.41
2020.06.16,1212.29,1208.65,1215.22,1204.09,0.3
2020.06.17,1215.53,1212.29,1219.26,1210.35,0.27
2020.06.18,1212.59,1215.53,1218.09,1207.76,-0.24
2020.06.19,1211.98,1212.6,1214.16,1205.62,-0.05
2020.06.20,1211.98,1212.6,1214.16,1205.62,-0.05
2020.06.21,1211.98,1212.6,1214.16,1205.62,-0.05
2020.06.22,1209.53,1211.89,1216.35,1208.77,-0.2
2020.06.23,1208.46,1209.53,1216.4,1205.47,-0.09
2020.06.24,1206.2,1208.45,1208.87,1198.71,-0.19
2020.06.25,1202.36,1206.2,1209.08,1200.91,-0.32
2020.06.26,1203.92,1202.36,1204.83,1197.0,0.13
2020.06.27,1203.92,1202.36,1204.83,1197.0,0.13
2020.06.28,1203.92,1202.36,1204.83,1197.0,0.13
2020.06.29,1199.66,1203.63,1205.96,1197.46,-0.35
2020.06.30,1199.44,1199.66,1204.68,1195.09,-0.02
2020.07.01,1201.67,1199.44,1205.05,1197.92,0.19
2020.07.02,1199.25,1201.67,1204.15,1196.68,-0.2
2020.07.03,1199.43,1199.25,1202.47,1197.77,0.02
2020.07.04,1199.43,1199.25,1202.47,1197.77,0.02
2020.07.05,1199.43,1199.25,1202.47,1197.77,0.02
2020.07.06,1192.05,1199.66,1200.1,1191.11,-0.62
2020.07.07,1196.84,1192.04,1197.78,1189.23,0.4
2020.07.08,1192.85,1196.84,1199.53,1192.08,-0.33
2020.07.09,1197.08,1192.68,1199.13,1191.04,0.36
2020.07.10,1200.62,1197.06,1206.03,1196.18,0.3
2020.07.11,1200.62,1197.06,1206.03,1196.18,0.3
2020.07.12,1200.62,1197.06,1206.03,1196.18,0.3
2020.07.13,1203.87,1200.52,1204.48,1198.69,0.27
2020.07.14,1205.01,1203.87,1208.74,1203.07,0.09
2020.07.15,1201.0,1205.01,1205.49,1198.81,-0.33
2020.07.16,1205.23,1201.0,1207.6,1200.08,0.35
2020.07.17,1203.94,1205.23,1207.35,1202.92,-0.11
2020.07.18,1203.94,1205.23,1207.35,1202.92,-0.11
2020.07.19,1203.94,1205.23,1207.35,1202.92,-0.11
2020.07.20,1201.02,1203.53,1206.93,1200.46,-0.24
2020.07.21,1194.04,1201.02,1202.02,1192.34,-0.58
2020.07.22,1197.38,1194.03,1199.91,1192.29,0.28
2020.07.23,1201.95,1197.38,1203.85,1195.58,0.38
2020.07.24,1201.59,1201.95,1204.59,1198.71,-0.03
2020.07.25,1201.59,1201.95,1204.59,1198.71,-0.03
2020.07.26,1201.59,1201.95,1204.59,1198.71,-0.03
2020.07.27,1196.07,1201.49,1202.32,1194.12,-0.46
2020.07.28,1199.55,1196.07,1202.16,1190.1,0.29
2020.07.29,1190.04,1199.54,1200.05,1189.76,-0.79
2020.07.30,1189.73,1190.04,1198.22,1187.59,-0.03
2020.07.31,1194.09,1189.73,1196.11,1186.27,0.37
2020.08.01,1194.09,1189.73,1196.11,1186.27,0.37
2020.08.02,1194.09,1189.73,1196.11,1186.27,0.37
2020.08.03,1192.7,1194.1,1196.79,1191.31,-0.12
2020.08.04,1193.32,1192.7,1197.12,1191.18,0.05
2020.08.05,1186.24,1193.32,1193.81,1183.31,-0.59
2020.08.06,1184.0,1186.24,1187.47,1182.51,-0.19
2020.08.07,1189.18,1184.0,1191.28,1183.07,0.44
2020.08.08,1189.18,1184.0,1191.28,1183.07,0.44
2020.08.09,1189.18,1184.0,1191.28,1183.07,0.44
2020.08.10,1185.58,1189.19,1189.64,1183.9,-0.3
2020.08.11,1185.62,1186.08,1187.97,1181.69,0.0
2020.08.12,1183.23,1186.12,1187.77,1182.33,-0.2
2020.08.13,1184.92,1183.74,1186.32,1181.24,0.14
